100003,"ABRAZ. SANITARIA PVC 3""",UND,12000,02/06/2021,SANITARIAS
100004,"ABRAZ. SANITARIA PVC 4""",UND,15000,02/06/2021,SANITARIAS
109900,"ABRAZADERA GALV. .1/2""",UND,1500,03/06/2021,SANITARIAS
109901,"ABRAZADERA GALV. .3/4""",UND,555,04/06/2021,SANITARIAS
109902,"ABRAZADERA GALV. 1""",UND,552,05/06/2021,SANITARIAS
109903,"ABRAZADERA GALV. 1.1/2""",UND,752,06/06/2021,SANITARIAS
109904,"ABRAZADERA GALV. 1.1/4""",UND,552,07/06/2021,SANITARIAS
109905,"ABRAZADERA GALV. 2""",UND,800,08/06/2021,SANITARIAS
130101,ABRAZADERA VARILLA ROSCADA,UND,1000,09/06/2021,SANITARIAS
100005,ACC.DILATACION PVC Z 13X30,UND,16100,10/06/2021,SANITARIAS
107000,ACC.ESQUINERO METAL-CINTA,RLL,33900,11/06/2021,SANITARIAS
119086,ACC.ESQUINERO PVC 1 L 3.05,UND,4525,12/06/2021,SANITARIAS
100007,ACC.ESQUINERO PVC 32x32,UND,14600,13/06/2021,SANITARIAS
119087,ACC.MEDIACAÑA PVC 9CM FLEX,UND,34750,14/06/2021,SANITARIAS
117001,ACC.MEDIACAÑA RINCONERA 1,UND,3850,15/06/2021,SANITARIAS
117002,ACC.PVC MEDIACAÑA 1 1-2,UND,140000,16/06/2021,SANITARIAS
119088,ACC.PVC MEDIACAÑA 6CM FLEX,UND,18150,17/06/2021,SANITARIAS
100009,ACC.TERMINAL PVC J 27,UND,4425,18/06/2021,SANITARIAS
100010,ACC.TERMINAL PVC L 27,UND,4300,19/06/2021,SANITARIAS
119089,ACCESORIO PARA BANDEJA,UND,41604,20/06/2021,SANITARIAS
100011,ACEITE MOTOR 4 TIEMPOS,GLN,86625,21/06/2021,SANITARIAS
100012,ACEITE QUEMADO,GLN,763,22/06/2021,SANITARIAS
107120,ACELERANTE DE FRAGUADO 25,KLS,12996,23/06/2021,SANITARIAS
101620,ACELERANTE DE FRAGUADO 5KG,KLS,28145,24/06/2021,SANITARIAS
